order_id,order_datetime,channel,platform,payment_method,customer_id,subtotal_sgd,shipping_fee_sgd,gst_sgd,grand_total_sgd
ORD100333,1/12/2019 11:24,Shopee,Shopee,Credit Card,CUST101145,12.35,3.9,1.14,17.39
ORD100334,1/12/2019 10:12,Lazada,Lazada,PayNow,CUST101856,41.45,2.5,3.08,47.03
ORD100335,1/12/2019 16:17,Lazada,Lazada,PayNow,CUST102539,4.58,0,0.32,4.9
ORD100336,1/12/2019 10:10,Website,Website,Credit Card,CUST101050,5,3.9,0.62,9.52
ORD100337,1/12/2019 10:03,Website,Website,GrabPay,CUST103225,15.4,2.5,1.25,19.15
ORD100338,1/12/2019 12:22,Website,Website,Credit Card,CUST101117,16.76,2.5,1.35,20.61
ORD100339,1/12/2019 9:25,Lazada,Lazada,GrabPay,CUST104997,4.47,3.9,0.59,8.96
ORD100341,1/12/2019 14:20,Lazada,Lazada,GrabPay,CUST104123,35.75,0,2.5,38.25
ORD100342,1/12/2019 9:42,Lazada,Lazada,Credit Card,CUST103087,6,0,0.42,6.42
ORD100348,1/12/2019 21:23,Lazada,Lazada,Atome,CUST101899,0.81,3.9,0.33,5.04
ORD100351,1/12/2019 10:46,Shopee,Shopee,PayNow,CUST103957,10.7,0,0.75,11.45
ORD100352,1/12/2019 11:39,Shopee,Shopee,ShopeePay,CUST100974,3.09,0,0.22,3.31
ORD100354,1/12/2019 14:41,Website,Website,Credit Card,CUST102221,26,0,1.82,27.82
ORD100356,1/12/2019 10:31,Lazada,Lazada,GrabPay,CUST103678,10,3,0.91,13.91
ORD100359,1/12/2019 12:17,Shopee,Shopee,Atome,CUST104165,13.4,2.5,1.11,17.01
ORD100364,1/12/2019 19:21,Lazada,Lazada,Credit Card,CUST100049,28.54,0,2,30.54
ORD100370,1/13/2019 17:21,Shopee,Shopee,PayNow,CUST101918,22.33,3,1.77,27.1
ORD100374,1/13/2019 15:48,Shopee,Shopee,Atome,CUST102518,15,0,1.05,16.05
ORD100376,1/13/2019 9:10,Shopee,Shopee,PayNow,CUST102424,11.69,2.5,0.99,15.18
ORD100379,1/13/2019 9:52,GrabMart,GrabMart,Atome,CUST104048,2.95,3.9,0.48,7.33
ORD100383,1/13/2019 18:30,Shopee,Shopee,Credit Card,CUST102602,18.11,0,1.27,19.38
ORD100384,1/13/2019 19:47,Shopee,Shopee,Atome,CUST101458,32.16,0,2.25,34.41
ORD100385,1/13/2019 12:03,FairPrice_Online,FairPrice_Online,GrabPay,CUST104111,10.25,2.5,0.89,13.64
ORD100387,1/13/2019 10:57,Website,Website,Atome,CUST102215,5.78,3,0.61,9.39
ORD100390,1/13/2019 15:09,Shopee,Shopee,GrabPay,CUST101383,7.12,0,0.5,7.62
ORD100391,1/13/2019 17:23,Shopee,Shopee,PayNow,CUST102158,26,2.5,2,30.5
ORD100392,1/13/2019 14:18,Shopee,Shopee,Credit Card,CUST104422,9.52,3.9,0.94,14.36
ORD100393,1/13/2019 16:40,Shopee,Shopee,GrabPay,CUST100134,18.11,3,1.48,22.59
ORD100395,1/13/2019 11:52,Shopee,Shopee,GrabPay,CUST103162,7.29,0,0.51,7.8
ORD100399,1/13/2019 17:58,Shopee,Shopee,ShopeePay,CUST100258,6.37,2.5,0.62,9.49
ORD100400,1/13/2019 14:40,Lazada,Lazada,Credit Card,CUST101698,16.53,2.5,1.33,20.36
ORD100401,1/13/2019 13:07,Website,Website,Credit Card,CUST101933,16.2,0,1.13,17.33
ORD100405,1/13/2019 14:44,Shopee,Shopee,Credit Card,CUST103791,13.37,3,1.15,17.52
ORD100406,1/13/2019 9:00,Website,Website,Credit Card,CUST101237,10.39,3.9,1,15.29
ORD100409,1/13/2019 11:14,Website,Website,GrabPay,CUST101297,16.05,3.9,1.4,21.35
ORD100414,1/14/2019 16:50,Shopee,Shopee,PayNow,CUST104336,13.37,0,0.94,14.31
ORD100421,1/14/2019 11:10,Shopee,Shopee,Atome,CUST101244,5.35,3.9,0.65,9.9
ORD100425,1/14/2019 16:40,Website,Website,PayNow,CUST104688,5.62,0,0.39,6.01
ORD100426,1/14/2019 19:39,Lazada,Lazada,Credit Card,CUST101289,2.94,2.5,0.38,5.82
ORD100428,1/14/2019 18:30,Website,Website,GrabPay,CUST103794,6.38,0,0.45,6.83
ORD100429,1/14/2019 15:21,Shopee,Shopee,ShopeePay,CUST102949,28.82,3,2.23,34.05
ORD100432,1/14/2019 12:01,Shopee,Shopee,PayNow,CUST102847,3.09,3.9,0.49,7.48
ORD100436,1/14/2019 20:17,Lazada,Lazada,Atome,CUST104739,30.62,2.5,2.32,35.44
ORD100438,1/14/2019 11:35,Shopee,Shopee,PayNow,CUST104390,15.56,0,1.09,16.65
ORD100439,1/14/2019 17:48,Lazada,Lazada,Credit Card,CUST102579,2.7,0,0.19,2.89
ORD100440,1/14/2019 20:11,Shopee,Shopee,ShopeePay,CUST104880,27.4,3,2.13,32.53
ORD100447,1/14/2019 19:00,Lazada,Lazada,Credit Card,CUST104079,3.25,3.9,0.5,7.65
ORD100451,1/15/2019 16:09,FairPrice_Online,FairPrice_Online,Atome,CUST103073,0.54,3.9,0.31,4.75
ORD100452,1/15/2019 17:42,Shopee,Shopee,ShopeePay,CUST102960,17,0,1.19,18.19
ORD100453,1/15/2019 20:09,Lazada,Lazada,Atome,CUST101976,16.92,3.9,1.46,22.28
ORD100455,1/15/2019 9:32,GrabMart,GrabMart,Atome,CUST103621,13.12,2.5,1.09,16.71
ORD100457,1/15/2019 21:07,FairPrice_Online,FairPrice_Online,Credit Card,CUST102106,7.54,3,0.74,11.28
ORD100458,1/15/2019 11:56,RedMart,RedMart,Credit Card,CUST104338,34.8,0,2.44,37.24
ORD100459,1/15/2019 20:25,Shopee,Shopee,GrabPay,CUST104768,1.12,3.9,0.35,5.37
ORD100460,1/15/2019 13:45,Shopee,Shopee,Credit Card,CUST103110,3.08,3,0.43,6.51
ORD100466,1/15/2019 13:24,Lazada,Lazada,Credit Card,CUST102566,27.41,0,1.92,29.33
ORD100467,1/15/2019 12:00,Website,Website,Atome,CUST103366,18,2.5,1.44,21.94
ORD100468,1/15/2019 17:37,Shopee,Shopee,GrabPay,CUST103972,15.17,0,1.06,16.23
ORD100471,1/15/2019 16:02,FairPrice_Online,FairPrice_Online,Credit Card,CUST103453,15.8,3.9,1.38,21.08
ORD100472,1/15/2019 15:59,Shopee,Shopee,PayNow,CUST100507,13.37,3.9,1.21,18.48
ORD100475,1/15/2019 21:56,Lazada,Lazada,Credit Card,CUST102609,5.51,0,0.39,5.9
ORD100478,1/15/2019 19:54,GrabMart,GrabMart,GrabPay,CUST101541,4.06,0,0.28,4.34
ORD100481,1/15/2019 9:58,Shopee,Shopee,Atome,CUST100274,1.18,3,0.29,4.47
ORD100483,1/15/2019 21:17,Lazada,Lazada,GrabPay,CUST104608,21.1,0,1.48,22.58
ORD100484,1/16/2019 12:12,GrabMart,GrabMart,GrabPay,CUST103242,0.81,0,0.06,0.87
ORD100492,1/16/2019 15:35,Lazada,Lazada,GrabPay,CUST100556,12.15,0,0.85,13
ORD100495,1/16/2019 13:05,Shopee,Shopee,PayNow,CUST100775,21.43,2.5,1.68,25.61
ORD100496,1/16/2019 19:27,Website,Website,PayNow,CUST100205,10.5,2.5,0.91,13.91
ORD100497,1/16/2019 11:26,Website,Website,Credit Card,GUEST1006,12.15,0,0.85,13
ORD100500,1/16/2019 13:52,FairPrice_Online,FairPrice_Online,Credit Card,CUST101649,14.15,0,0.99,15.14
ORD100502,1/16/2019 11:14,Website,Website,GrabPay,CUST101288,14,0,0.98,14.98
ORD100505,1/16/2019 18:53,Lazada,Lazada,PayNow,CUST103340,9.87,0,0.69,10.56
ORD100508,1/16/2019 21:27,Shopee,Shopee,Credit Card,CUST104713,0.54,3.9,0.31,4.75
ORD100510,1/16/2019 12:25,GrabMart,GrabMart,Atome,CUST100043,2.7,2.5,0.36,5.56
ORD100513,1/16/2019 9:59,Website,Website,PayNow,CUST100611,5.5,0,0.39,5.89
ORD100517,1/16/2019 10:16,Lazada,Lazada,Credit Card,CUST102640,8.3,0,0.58,8.88
ORD100518,1/16/2019 16:29,Shopee,Shopee,Credit Card,CUST103367,26.6,2.5,2.04,31.14
ORD100520,1/16/2019 16:01,Website,Website,PayNow,CUST102842,22.33,2.5,1.74,26.57
ORD100521,1/16/2019 13:06,Shopee,Shopee,Credit Card,CUST103698,6.37,3.9,0.72,10.99
ORD100525,1/17/2019 13:38,Shopee,Shopee,PayNow,CUST102184,0.64,3.9,0.32,4.86
ORD100526,1/17/2019 13:25,GrabMart,GrabMart,Atome,CUST101750,25.21,2.5,1.94,29.65
ORD100528,1/17/2019 16:56,Shopee,Shopee,Credit Card,CUST101533,22.73,0,1.59,24.32
ORD100529,1/17/2019 18:02,Shopee,Shopee,PayNow,CUST104882,3.89,0,0.27,4.16
ORD100531,1/17/2019 11:20,Shopee,Shopee,GrabPay,CUST100934,11.76,0,0.82,12.58
ORD100532,1/17/2019 21:43,GrabMart,GrabMart,Atome,CUST102998,9.72,0,0.68,10.4
ORD100533,1/17/2019 15:30,Website,Website,Credit Card,CUST103750,11.76,3.9,1.1,16.76
ORD100534,1/17/2019 11:23,Shopee,Shopee,ShopeePay,CUST100746,30.36,0,2.13,32.49
ORD100535,1/17/2019 14:18,Shopee,Shopee,ShopeePay,CUST103918,9.57,2.5,0.84,12.91
ORD100537,1/17/2019 18:34,Shopee,Shopee,ShopeePay,CUST101522,11.46,0,0.8,12.26
ORD100538,1/17/2019 17:43,Lazada,Lazada,Atome,CUST101937,5.72,0,0.4,6.12
ORD100539,1/17/2019 19:24,Shopee,Shopee,Credit Card,CUST102361,31.74,2.5,2.4,36.64
ORD100541,1/17/2019 14:52,RedMart,RedMart,Credit Card,CUST103144,5.51,3.9,0.66,10.07
ORD100543,1/17/2019 12:20,Shopee,Shopee,ShopeePay,CUST101296,2.24,0,0.16,2.4
ORD100544,1/17/2019 13:55,Shopee,Shopee,PayNow,CUST101399,7.61,0,0.53,8.14
ORD100545,1/17/2019 10:55,Lazada,Lazada,Credit Card,CUST100920,12.76,2.5,1.07,16.33
ORD100548,1/17/2019 14:04,FairPrice_Online,FairPrice_Online,Credit Card,CUST104182,7,3,0.7,10.7
ORD100553,1/17/2019 15:38,Shopee,Shopee,Atome,CUST102761,30.41,0,2.13,32.54
ORD100555,1/18/2019 21:09,Lazada,Lazada,GrabPay,CUST102170,13,3,1.12,17.12
ORD100562,1/18/2019 16:25,Website,Website,GrabPay,CUST104620,10.7,2.5,0.92,14.12
ORD100565,1/18/2019 18:23,Shopee,Shopee,ShopeePay,CUST103136,10.72,0,0.75,11.47
ORD100567,1/18/2019 11:12,Website,Website,GrabPay,CUST101531,8.68,3,0.82,12.5
ORD100568,1/18/2019 21:32,Website,Website,GrabPay,CUST102347,5,2.5,0.53,8.03
ORD100572,1/18/2019 19:03,Shopee,Shopee,PayNow,CUST100350,9.14,0,0.64,9.78
ORD100573,1/18/2019 17:02,Shopee,Shopee,PayNow,CUST102807,9.44,3.9,0.93,14.27
ORD100576,1/18/2019 18:03,Shopee,Shopee,Credit Card,CUST100784,12.24,0,0.86,13.1
ORD100577,1/18/2019 14:59,Website,Website,Atome,CUST102585,1.12,0,0.08,1.2
ORD100579,1/18/2019 14:09,GrabMart,GrabMart,GrabPay,CUST103242,21.48,3.9,1.78,27.16
ORD100581,1/18/2019 11:52,Shopee,Shopee,Credit Card,CUST101539,7.29,3,0.72,11.01
ORD100582,1/18/2019 15:22,Shopee,Shopee,PayNow,CUST102887,13.43,0,0.94,14.37
ORD100583,1/18/2019 18:08,Website,Website,Credit Card,CUST100516,10.91,0,0.76,11.67
ORD100584,1/18/2019 10:29,Shopee,Shopee,ShopeePay,CUST102142,28.51,2.5,2.17,33.18
ORD100585,1/18/2019 13:22,Lazada,Lazada,Atome,CUST104168,26.8,0,1.88,28.68
